,customer_city,order_completion_day,label
0,abadia dos dourados,12.0,iki
1,abadiania,29.0,altı
2,abaete,10.0,bir
3,abaetetuba,25.9,altı
4,abaiara,35.5,altı
5,abaira,14.5,dört
6,abare,17.5,beş
7,abatia,18.666666666666668,beş
8,abelardo luz,19.0,beş
9,abrantes,16.0,dört
10,abre campo,11.8,iki
11,abreu e lima,19.22222222222222,beş
12,acaiaca,11.0,iki
13,acailandia,16.428571428571427,dört
14,acajutiba,16.0,dört
15,acarau,36.857142857142854,altı
16,acari,13.0,üç
17,acegua,23.5,altı
18,acopiara,22.0,altı
19,acreuna,15.428571428571429,dört
20,acu,23.5,altı
21,acucena,4.0,bir
22,adamantina,11.6,iki
23,adhemar de barros,98.0,altı
24,adolfo,10.6,iki
25,adrianopolis,9.0,bir
26,adustina,12.0,iki
27,afogados da ingazeira,11.375,iki
28,afonso claudio,13.363636363636363,üç
29,afranio,16.0,dört
30,agisse,14.0,üç
31,agrestina,14.0,üç
32,agrolandia,13.0,üç
33,agronomica,18.5,beş
34,agua boa,17.647058823529413,beş
35,agua branca,20.8,beş
36,agua clara,18.5,beş
37,agua comprida,7.0,bir
38,agua doce do norte,12.25,üç
39,agua fria de goias,18.0,beş
40,agua limpa,20.0,beş
41,agua nova,19.0,beş
42,agua preta,11.0,iki
43,agua santa,13.0,üç
44,aguai,11.666666666666666,iki
45,aguas belas,13.6,üç
46,aguas claras,37.0,altı
47,aguas da prata,7.444444444444445,bir
48,aguas de lindoia,11.333333333333334,iki
49,aguas de santa barbara,10.666666666666666,iki
50,aguas de sao pedro,17.0,dört
51,aguas formosas,9.75,bir
52,aguas frias,11.0,iki
53,aguas lindas de goias,13.590909090909092,üç
54,aguas mornas,17.0,dört
55,aguas vermelhas,17.0,dört
56,agudo,11.0,iki
57,agudos,10.428571428571429,iki
58,aguia branca,17.0,dört
59,aimores,9.9,bir
60,aiuaba,10.0,bir
61,aiuruoca,10.75,iki
62,ajapi,28.0,altı
63,ajuricaba,6.5,bir
64,alagoa,12.0,iki
65,alagoa grande,10.0,bir
66,alagoa nova,32.0,altı
67,alagoinha,21.5,altı
68,alagoinhas,20.91891891891892,beş
69,alambari,8.0,bir
70,alcantara,20.0,beş
71,alcinopolis,9.833333333333334,bir
72,alcobaca,18.75,beş
73,alegre,15.4375,dört
74,alegrete,13.5,üç
75,alegrete do piaui,26.0,altı
76,alegria,11.0,iki
77,alem paraiba,13.678571428571429,üç
78,alexandra,18.0,beş
79,alexandria,12.5,üç
80,alexandrita,11.0,iki
81,alexania,12.4,üç
82,alfenas,12.461538461538462,üç
83,alfredo chaves,14.571428571428571,dört
84,alfredo marcondes,16.0,dört
85,alfredo vasconcelos,8.666666666666666,bir
86,alfredo wagner,10.5,iki
87,alhandra,24.0,altı
88,alianca,21.0,beş
89,alianca do tocantins,16.0,dört
90,almenara,13.23076923076923,üç
91,almino afonso,15.0,dört
92,almirante tamandare,13.057142857142857,üç
93,almirante tamandare do sul,12.0,iki
94,alpercata,7.5,bir
95,alpestre,13.0,üç
96,alpinopolis,12.428571428571429,üç
97,alta floresta,16.818181818181817,dört
98,alta floresta d'oeste,19.333333333333332,beş
99,altamira,27.958333333333332,altı
100,altamira do parana,10.0,bir
101,altaneira,19.0,beş
102,alterosa,14.333333333333334,üç
103,altinho,7.0,bir
104,altinopolis,10.25,iki
105,alto alegre,16.666666666666668,dört
106,alto alegre do iguacu,16.0,dört
107,alto alegre do maranhao,10.0,bir
108,alto alegre do pindare,12.0,iki
109,alto araguaia,24.8,altı
110,alto boa vista,16.0,dört
111,alto caparao,18.5,beş
112,alto do rodrigues,22.333333333333332,altı
113,alto garcas,16.0,dört
114,alto horizonte,15.5,dört
115,alto jequitiba,8.666666666666666,bir
116,alto paraiso,19.0,beş
117,alto paraiso de goias,19.6,beş
118,alto parana,12.0,iki
119,alto parnaiba,22.6,altı
120,alto piquiri,7.0,bir
121,alto rio doce,14.75,dört
122,alto rio novo,13.0,üç
123,alto santo,15.666666666666666,dört
124,alto taquari,18.0,beş
125,altonia,10.0,bir
126,altos,19.2,beş
127,aluminio,14.7,dört
128,alvarenga,11.0,iki
129,alvares florence,12.5,üç
130,alvares machado,8.5,bir
131,alvaro de carvalho,9.0,bir
132,alvinopolis,9.272727272727273,bir
133,alvorada,15.377358490566039,dört
134,alvorada do gurgueia,11.0,iki
135,alvorada do norte,15.0,dört
136,amambai,17.5,beş
137,amanari,23.0,altı
138,amapa do maranhao,17.0,dört
139,amapora,11.0,iki
140,amaraji,23.0,altı
141,amarante,18.0,beş
142,amargosa,21.0,beş
143,amelia rodrigues,14.666666666666666,dört
144,america dourada,45.0,altı
145,americana,7.738916256157635,bir
146,americano do brasil,14.666666666666666,dört
147,americo brasiliense,13.625,üç
148,americo de campos,11.0,iki
149,ametista do sul,15.0,dört
150,amontada,18.0,beş
151,amparo,9.913793103448276,bir
152,amparo da serra,12.0,iki
153,ampere,13.25,üç
154,anadia,14.0,üç
155,anage,19.0,beş
156,analandia,9.75,bir
157,ananas,14.0,üç
158,ananindeua,23.07894736842105,altı
159,anapolis,16.90566037735849,dört
160,anastacio,10.5,iki
161,anaurilandia,10.0,bir
162,anchieta,17.4375,beş
163,andarai,22.0,altı
164,andira,12.363636363636363,üç
165,andorinha,17.0,dört
166,andradas,12.090909090909092,iki
167,andradina,9.91891891891892,bir
168,andre da rocha,7.0,bir
169,andrelandia,20.0,beş
170,andrequice,20.0,beş
171,angatuba,13.125,üç
172,angelica,16.0,dört
173,angelina,19.0,beş
174,angical,23.0,altı
175,angical do piaui,10.0,bir
176,angicos,26.0,altı
177,angra dos reis,15.542857142857143,dört
178,anguera,15.0,dört
179,angulo,11.5,iki
180,angustura,27.0,altı
181,anhandui,12.0,iki
182,anhembi,29.0,altı
183,anhumas,7.0,bir
184,anicuns,14.0,üç
185,anita garibaldi,18.2,beş
186,anitapolis,25.0,altı
187,anta,5.333333333333333,bir
188,anta gorda,13.25,üç
189,antonina,10.5,iki
190,antonina do norte,22.0,altı
191,antonio cardoso,21.0,beş
192,antonio carlos,9.0,bir
193,antonio goncalves,8.0,bir
194,antonio martins,21.0,beş
195,antonio pereira,22.0,altı
196,antonio prado,20.75,beş
197,antonio prado de minas,13.0,üç
198,antunes,12.0,iki
199,aparecida,11.4,iki
200,aparecida d'oeste,8.0,bir
201,aparecida de goiania,14.844660194174757,dört
202,aparecida de monte alto,12.0,iki
203,aparecida de sao manuel,8.5,bir
204,aparecida do rio negro,20.0,beş
205,aparecida do taboado,17.333333333333332,beş
206,aperibe,14.818181818181818,dört
207,apiaca,7.666666666666667,bir
208,apiai,11.5,iki
209,apiuna,11.428571428571429,iki
210,apodi,40.666666666666664,altı
211,apora,44.0,altı
212,apore,11.0,iki
213,apuarema,23.0,altı
214,apucarana,12.479166666666666,üç
215,apuiares,22.0,altı
216,aquidaba,26.0,altı
217,aquidauana,10.0,bir
218,aquiraz,17.0,dört
219,aracaju,20.836633663366335,beş
220,aracariguama,9.875,bir
221,aracati,22.4,altı
222,aracatu,12.0,iki
223,aracatuba,10.112,iki
224,arace,86.5,altı
225,araci,21.0,beş
226,aracitaba,10.5,iki
227,aracoiaba,21.6,altı
228,aracoiaba da serra,9.8,bir
229,aracruz,16.805555555555557,dört
230,aracuai,13.11111111111111,üç
231,aragarcas,18.666666666666668,beş
232,aragoiania,17.0,dört
233,araguacu,12.0,iki
234,araguaia,8.0,bir
235,araguaina,22.0,altı
236,araguana,16.0,dört
237,araguapaz,20.0,beş
238,araguari,10.81132075471698,iki
239,araguatins,17.8,beş
240,aramari,74.0,altı
241,arame,25.0,altı
242,arandu,9.0,bir
243,arantina,8.0,bir
244,arapei,10.5,iki
245,arapiraca,24.11111111111111,altı
246,arapoema,9.0,bir
247,araponga,11.0,iki
248,arapongas,12.88888888888889,üç
249,arapora,11.4,iki
250,arapoti,12.25,üç
251,arapua,7.0,bir
252,araputanga,18.0,beş
253,araquari,16.181818181818183,dört
254,arara,17.0,dört
255,ararangua,13.88888888888889,üç
256,araraquara,9.575539568345324,bir
257,araras,9.436781609195402,bir
258,arari,18.0,beş
259,ararica,14.0,üç
260,araripe,31.0,altı
261,araripina,19.727272727272727,beş
262,araruama,17.803030303030305,beş
263,araruna,17.0,dört
264,arataca,15.0,dört
265,aratiba,9.0,bir
266,aratuba,24.0,altı
267,araucaria,11.346153846153847,iki
268,araujos,15.2,dört
269,araxa,13.901408450704226,üç
270,arceburgo,13.833333333333334,üç
271,arcos,14.291666666666666,üç
272,arcoverde,22.4,altı
273,areado,12.166666666666666,iki
274,areal,8.714285714285714,bir
275,arealva,12.333333333333334,üç
276,areia,29.5,altı
277,areia branca,10.666666666666666,iki
278,areia branca dos assis,33.333333333333336,altı
279,areial,33.0,altı
280,areias,9.0,bir
281,areiopolis,7.666666666666667,bir
282,arembepe,32.5,altı
283,arenapolis,16.0,dört
284,arenopolis,12.0,iki
285,arinos,13.0,üç
286,aripuana,27.5,altı
287,ariquemes,23.90909090909091,altı
288,ariranha,11.4,iki
289,armacao dos buzios,23.11111111111111,altı
290,armazem,7.5,bir
291,arneiroz,30.5,altı
292,aroeiras,34.0,altı
293,arraial d ajuda,12.0,iki
294,arraial d'ajuda,20.285714285714285,beş
295,arraial do cabo,21.44,altı
296,arraias,20.0,beş
297,arroio do meio,12.222222222222221,üç
298,arroio do sal,15.6,dört
299,arroio do tigre,16.0,dört
300,arroio dos ratos,8.777777777777779,bir
301,arroio grande,26.0,altı
302,arroio trinta,15.0,dört
303,arrozal,18.333333333333332,beş
304,artur nogueira,8.11111111111111,bir
305,aruana,9.0,bir
306,aruja,6.693548387096774,bir
307,arvoredo,25.0,altı
308,arvorezinha,15.25,dört
309,ascurra,18.5,beş
310,assai,19.0,beş
311,assare,12.0,iki
312,assis,9.621621621621621,bir
313,assis chateaubriand,10.083333333333334,iki
314,assuncao,53.0,altı
315,astolfo dutra,9.9,bir
316,astorga,10.571428571428571,iki
317,atalaia,11.0,iki
318,atalanta,17.0,dört
319,ataleia,19.5,beş
320,atibaia,8.460992907801419,bir
321,atilio vivacqua,25.0,altı
322,augustinopolis,18.0,beş
323,augusto correa,10.0,bir
324,augusto pestana,12.5,üç
325,aurea,11.0,iki
326,auriflama,9.6,bir
327,aurilandia,20.0,beş
328,aurora,17.0,dört
329,aurora do para,10.0,bir
330,avanhandava,9.142857142857142,bir
331,avare,11.555555555555555,iki
332,avelar,23.333333333333332,altı
333,avelino lopes,19.0,beş
334,azurita,29.666666666666668,altı
335,bacabal,18.875,beş
336,bacaxa,27.0,altı
337,bacuri,18.333333333333332,beş
338,bady bassitt,10.0,bir
339,baependi,12.142857142857142,iki
340,bage,17.129032258064516,beş
341,baianopolis,31.0,altı
342,baixa grande,14.0,üç
343,baixa grande do ribeiro,22.0,altı
344,baixo guandu,12.75,üç
345,balbinos,7.0,bir
346,baldim,10.5,iki
347,balneario arroio do silva,20.25,beş
348,balneario barra do sul,11.75,iki
349,balneario camboriu,14.419354838709678,dört
350,balneario gaivota,14.0,üç
351,balneario picarras,17.0,dört
352,balneario pinhal,13.285714285714286,üç
353,balneario rincao,23.333333333333332,altı
354,balsamo,8.8,bir
355,balsas,25.4,altı
356,bambui,11.0,iki
357,banabuiu,22.0,altı
358,bananal,10.333333333333334,iki
359,bananeiras,16.0,dört
360,bandeira,13.0,üç
361,bandeira do sul,15.0,dört
362,bandeirantes,11.357142857142858,iki
363,bandeirantes d'oeste,13.0,üç
364,bandeirantes do tocantins,16.5,dört
365,banzae,32.0,altı
366,barao,8.0,bir
367,barao ataliba nogueira,14.0,üç
368,barao de cocais,11.75,iki
369,barao de cotegipe,10.5,iki
370,barao de juparana,5.0,bir
371,barao do triunfo,20.0,beş
372,barauna,12.0,iki
373,barbacena,12.126760563380282,iki
374,barbalha,28.333333333333332,altı
375,barbosa ferraz,9.333333333333334,bir
376,barcarena,25.833333333333332,altı
377,bariri,10.642857142857142,iki
