,seller_city,order_completion_day,label
0,abadia de goias,24.0,altı
1,afonso claudio,14.8,beş
2,aguas claras df,6.0,bir
3,alambari,21.2,altı
4,alfenas,15.327586206896552,beş
5,alvares machado,7.833333333333333,bir
6,alvorada,6.571428571428571,bir
7,americana,14.021739130434783,beş
8,amparo,12.876543209876543,dört
9,ampere,12.2,üç
10,anapolis,13.76923076923077,dört
11,andira-pr,12.89655172413793,dört
12,andradas,14.666666666666666,beş
13,angra dos reis,7.75,bir
14,angra dos reis rj,6.0,bir
15,ao bernardo do campo,4.25,bir
16,aparecida,13.31578947368421,dört
17,aparecida de goiania,15.263157894736842,beş
18,aperibe,14.0625,beş
19,apucarana,10.882882882882884,iki
20,aracaju,12.75,dört
21,aracatuba,14.203389830508474,beş
22,araguari,13.009345794392523,dört
23,arapongas,14.765217391304347,beş
24,araquari,16.0,altı
25,ararangua,15.5,beş
26,araraquara,12.92056074766355,dört
27,araras,10.068181818181818,iki
28,araucaria,12.954545454545455,dört
29,araxa,20.0,altı
30,arinos,12.11111111111111,üç
31,armacao dos buzios,10.5,iki
32,arraial d'ajuda (porto seguro),16.73076923076923,altı
33,artur nogueira,13.38888888888889,dört
34,aruja,13.45,dört
35,arvorezinha,11.727272727272727,üç
36,assis,11.984962406015038,üç
37,atibaia,9.871929824561404,iki
38,auriflama,9.25,iki
39,auriflama/sp,7.333333333333333,bir
40,avare,4.0,bir
41,bady bassitt,20.181818181818183,altı
42,baependi,14.77124183006536,beş
43,bage,12.0,üç
44,bahia,16.4,altı
45,balenario camboriu,16.666666666666668,altı
46,balneario camboriu,21.583333333333332,altı
47,bandeirantes,11.0,üç
48,barbacena,6.0,bir
49,barbacena/ minas gerais,5.0,bir
50,bariri,14.23076923076923,beş
51,barra mansa,13.75,dört
52,barra velha,8.8,bir
53,barretos,17.69047619047619,altı
54,barrinha,7.0,bir
55,barro alto,27.0,altı
56,barueri,10.980997624703088,üç
57,batatais,10.125,iki
58,bauru,11.479166666666666,üç
59,bebedouro,14.300813008130081,beş
60,belford roxo,12.0,üç
61,belo horizont,15.0,beş
62,belo horizonte,12.241099594411898,üç
63,bento goncalves,11.379310344827585,üç
64,bertioga,11.365384615384615,üç
65,betim,9.020242914979757,iki
66,birigui,11.55056179775281,üç
67,blumenau,11.992207792207791,üç
68,bocaiuva do sul,10.222222222222221,iki
69,bofete,8.0,bir
70,boituva,16.153846153846153,altı
71,bom jardim,7.5,bir
72,bom jesus dos perdoes,52.0,altı
73,bombinhas,18.869565217391305,altı
74,bonfinopolis de minas,10.5,iki
75,borda da mata,11.513002364066194,üç
76,botucatu,10.0,iki
77,braco do norte,8.2,bir
78,braganca paulista,11.43421052631579,üç
79,brasilia,12.314893617021276,dört
80,brasilia df,24.5,altı
81,brejao,11.696969696969697,üç
82,brotas,5.0,bir
83,brusque,12.549242424242424,dört
84,buritama,10.727272727272727,iki
85,cacador,12.0,üç
86,cachoeira do sul,13.0,dört
87,cachoeirinha,12.293103448275861,üç
88,cachoeiro de itapemirim,11.538461538461538,üç
89,cafelandia,13.805555555555555,beş
90,cajamar,9.53061224489796,iki
91,california,8.5,bir
92,camanducaia,7.6,bir
93,cambe,10.0,iki
94,camboriu,8.0,bir
95,campanha,10.0,iki
96,campina das missoes,15.5,beş
97,campina grande,17.0,altı
98,campinas,11.728146853146853,üç
99,campo bom,15.38888888888889,beş
100,campo do meio,9.117647058823529,iki
101,campo grande,9.84375,iki
102,campo largo,13.906976744186046,beş
103,campo limpo paulista,13.464354527938342,dört
104,campo magro,12.0,üç
105,campo mourao,13.07843137254902,dört
106,campos dos goytacazes,9.9,iki
107,campos novos,18.0,altı
108,cananeia,14.333333333333334,beş
109,canoas,9.584905660377359,iki
110,canoinhas,14.669642857142858,beş
111,capivari,10.806666666666667,iki
112,carapicuiba,10.316666666666666,iki
113,carapicuiba / sao paulo,4.444444444444445,bir
114,caratinga,15.0,beş
115,carazinho,9.0,bir
116,cariacica,13.531578947368422,dört
117,cariacica / es,9.333333333333334,iki
118,carmo da mata,7.0,bir
119,carmo do cajuru,16.125,altı
120,caruaru,15.714285714285714,beş
121,cascavael,6.0,bir
122,cascavel,13.751219512195123,dört
123,castro,13.823529411764707,beş
124,castro pires,6.0,bir
125,cataguases,14.0,beş
126,catanduva,12.743589743589743,dört
127,caucaia,19.0,altı
128,caxias do sul,10.420212765957446,iki
129,centro,11.75,üç
130,cerqueira cesar,17.823529411764707,altı
131,chapeco,9.166666666666666,iki
132,cianorte,8.0,bir
133,claudio,18.765432098765434,altı
134,clementina,12.6,dört
135,colatina,13.333333333333334,dört
136,colombo,11.496124031007753,üç
137,colorado,20.833333333333332,altı
138,conchal,14.0,beş
139,concordia,7.842105263157895,bir
140,condor,8.0,bir
141,congonhal,21.06896551724138,altı
142,congonhas,13.15,dört
143,conselheiro lafaiete,10.489795918367347,iki
144,contagem,9.41566265060241,iki
145,cordeiropolis,14.25,beş
146,cordilheira alta,7.0,bir
147,cornelio procopio,9.375,iki
148,coronel fabriciano,13.666666666666666,dört
149,cosmopolis,18.0,altı
150,cotia,9.448780487804878,iki
151,coxim,19.363636363636363,altı
152,cravinhos,2.0,bir
153,criciuma,20.03448275862069,altı
154,cruzeiro,12.858823529411765,dört
155,cuiaba,15.27027027027027,beş
156,curitiba,12.478805006055712,dört
157,curitibanos,22.545454545454547,altı
158,descalvado,12.8,dört
159,diadema,10.919540229885058,üç
160,divinopolis,12.01,üç
161,dois corregos,11.387096774193548,üç
162,domingos martins,10.76923076923077,iki
163,dores de campos,14.5,beş
164,dracena,15.355140186915888,beş
165,duque de caxias,9.48,iki
166,echapora,12.0,üç
167,embu das artes,7.5,bir
168,embu guacu,10.421052631578947,iki
169,engenheiro coelho,10.0,iki
170,entre rios do oeste,13.0,dört
171,erechim,15.0,beş
172,estancia velha,6.833333333333333,bir
173,eunapolis,9.0,bir
174,extrema,20.5,altı
175,farroupilha,18.02777777777778,altı
176,fazenda rio grande,12.901639344262295,dört
177,feira de santana,66.66666666666667,altı
178,fernando prestes,7.666666666666667,bir
179,fernandopolis,14.12,beş
180,ferraz de  vasconcelos,9.0,bir
181,ferraz de vasconcelos,6.333333333333333,bir
182,floranopolis,6.0,bir
183,flores da cunha,10.3,iki
184,floresta,8.095238095238095,bir
185,florianopolis,13.575129533678757,dört
186,formiga,9.932835820895523,iki
187,formosa,11.5,üç
188,formosa do oeste,10.8,iki
189,fortaleza,16.62,altı
190,foz do iguacu,18.97005988023952,altı
191,franca,15.387037037037038,beş
192,francisco beltrao,11.412698412698413,üç
193,francisco morato,11.833333333333334,üç
194,franco da rocha,4.25,bir
195,fronteira,15.631578947368421,beş
196,gama,13.633333333333333,dört
197,garca,12.463636363636363,dört
198,garopaba,20.454545454545453,altı
199,garulhos,7.375,bir
200,garuva,10.5,iki
201,gaspar,23.5,altı
202,goiania,12.360995850622407,dört
203,goioere,14.0,beş
204,governador valadares,9.5,iki
205,guaimbe,7.0,bir
206,guaira,10.5,iki
207,guanambi,9.666666666666666,iki
208,guanhaes,6.333333333333333,bir
209,guara,15.67123287671233,beş
210,guarapuava,12.666666666666666,dört
211,guaratingueta,17.0,altı
212,guaratuba,14.384615384615385,beş
213,guariba,15.13752276867031,beş
214,guaruja,18.714285714285715,altı
215,guarulhos,11.48589894242068,üç
216,guiricema,12.0,üç
217,holambra,16.285714285714285,altı
218,horizontina,12.5,dört
219,hortolandia,8.069124423963133,bir
220,ibia,13.055555555555555,dört
221,ibirite,10.0,iki
222,ibitinga,14.318951965065501,beş
223,icara,14.479166666666666,beş
224,igaracu do tiete,14.6,beş
225,igrejinha,10.5,iki
226,ilheus,14.941176470588236,beş
227,ilicinea,13.691970802919709,dört
228,imbe,21.444444444444443,altı
