,seller_state,order_completion_day,label
0,AM,48.0,altı
1,BA,13.820267686424474,beş
2,CE,17.759036144578314,altı
3,DF,12.434370771312585,iki
4,ES,13.115646258503402,üç
5,GO,12.785714285714286,iki
6,MA,17.708661417322833,altı
7,MG,12.920033435497354,üç
8,MS,12.279069767441861,bir
9,MT,14.723076923076922,beş
10,PA,13.25,üç
11,PB,13.258064516129032,dört
12,PE,12.698209718670077,iki
13,PI,13.9,beş
14,PR,13.37231884057971,dört
15,RJ,12.093647177929638,bir
16,RN,13.73913043478261,dört
17,RO,18.46153846153846,altı
18,RS,11.482702702702703,bir
19,SC,13.820053715308863,dört
20,SE,12.857142857142858,iki
21,SP,12.311329044406088,bir
